---------------------------------
Bayern Munich
---------------------------------
1: 598652
2: 227390
3: 102862
4: 42154
5: 16888
6: 6857
7: 2892
8: 1272
9: 547
10: 273
11: 115
12: 56
13: 26
14: 10
15: 5
16: 0
17: 1
18: 0


---------------------------------
Borussia Dortmund
---------------------------------
1: 157888
2: 269222
3: 241077
4: 148482
5: 82545
6: 44195
7: 24683
8: 13889
9: 7813
10: 4543
11: 2601
12: 1500
13: 806
14: 395
15: 197
16: 108
17: 39
18: 17


---------------------------------
RB Leipzig
---------------------------------
1: 175376
2: 286865
3: 235914
4: 140084
5: 74903
6: 39235
7: 21226
8: 11715
9: 6641
10: 3567
11: 2097
12: 1194
13: 607
14: 305
15: 162
16: 77
17: 24
18: 8


---------------------------------
Borussia Mönchengladbach
---------------------------------
1: 41888
2: 112316
3: 175925
4: 210186
5: 157455
6: 104679
7: 68668
8: 45499
9: 30384
10: 19836
11: 13021
12: 8220
13: 5294
14: 3180
15: 1886
16: 994
17: 408
18: 161


---------------------------------
Bayer Leverkusen
---------------------------------
1: 16649
2: 55292
3: 105929
4: 159065
5: 172580
6: 136101
7: 102344
8: 75443
9: 54642
10: 39489
11: 28060
12: 19958
13: 13699
14: 9058
15: 5748
16: 3467
17: 1816
18: 660


---------------------------------
1899 Hoffenheim
---------------------------------
1: 2031
2: 10089
3: 27544
4: 56515
5: 86750
6: 107982
7: 112799
8: 108665
9: 98460
10: 87126
11: 74069
12: 62298
13: 50286
14: 39997
15: 30833
16: 22324
17: 14675
18: 7557


---------------------------------
VfL Wolfsburg
---------------------------------
1: 2258
2: 11295
3: 29878
4: 60858
5: 93547
6: 113829
7: 117126
8: 109750
9: 98352
10: 85035
11: 71260
12: 58701
13: 46929
14: 36556
15: 27267
16: 19339
17: 12140
18: 5880


---------------------------------
SC Freiburg
---------------------------------
1: 2073
2: 10145
3: 27621
4: 57147
5: 87810
6: 108823
7: 114617
8: 109702
9: 99275
10: 86973
11: 73902
12: 61128
13: 50108
14: 39321
15: 29679
16: 21345
17: 13681
18: 6650


---------------------------------
Eintracht Frankfurt
---------------------------------
1: 2183
2: 10502
3: 27581
4: 55726
5: 85302
6: 105912
7: 109986
8: 106419
9: 97530
10: 86871
11: 74326
12: 62769
13: 52234
14: 42056
15: 32440
16: 23762
17: 16018
18: 8383


---------------------------------
Hertha BSC
---------------------------------
1: 429
2: 2548
3: 8534
4: 20935
5: 38783
6: 57138
7: 72195
8: 83122
9: 90430
10: 93233
11: 92561
12: 88707
13: 83239
14: 75359
15: 66183
16: 55544
17: 43336
18: 27724


---------------------------------
Union Berlin
---------------------------------
1: 114
2: 849
3: 3288
4: 9215
5: 19252
6: 31804
7: 45210
8: 58025
9: 69784
10: 79766
11: 88046
12: 92683
13: 94992
14: 96019
15: 92998
16: 86732
17: 75693
18: 55530


---------------------------------
Schalke 04
---------------------------------
1: 50
2: 447
3: 1935
4: 5879
5: 13112
6: 22836
7: 33936
8: 45966
9: 57337
10: 68632
11: 79643
12: 88427
13: 96168
14: 101982
15: 104728
16: 103581
17: 96689
18: 78652


---------------------------------
Mainz 05
---------------------------------
1: 74
2: 571
3: 2384
4: 6796
5: 14729
6: 24804
7: 36437
8: 47582
9: 59210
10: 69811
11: 79982
12: 87757
13: 95096
14: 99456
15: 101872
16: 100585
17: 94614
18: 78240


---------------------------------
1. FC Köln
---------------------------------
1: 162
2: 1210
3: 4348
4: 11792
5: 22880
6: 36578
7: 49421
8: 62033
9: 72767
10: 80762
11: 87224
12: 91001
13: 92232
14: 91416
15: 87157
16: 81880
17: 72123
18: 55014


---------------------------------
FC Augsburg
---------------------------------
1: 129
2: 923
3: 3603
4: 9540
5: 19985
6: 32827
7: 45199
8: 57871
9: 69413
10: 78289
11: 86133
12: 91707
13: 94991
14: 95067
15: 92991
16: 86853
17: 76119
18: 58360


---------------------------------
Werder Bremen
---------------------------------
1: 30
2: 224
3: 998
4: 3227
5: 7530
6: 14061
7: 22230
8: 30897
9: 41586
10: 52038
11: 63536
12: 74958
13: 87256
14: 99491
15: 112234
16: 123476
17: 132923
18: 133305


---------------------------------
Fortuna Düsseldorf
---------------------------------
1: 7
2: 77
3: 391
4: 1591
5: 3843
6: 7781
7: 13132
8: 19443
9: 27395
10: 37539
11: 48197
12: 61514
13: 75329
14: 91951
15: 112380
16: 136439
17: 166066
18: 196925


---------------------------------
SC Paderborn
---------------------------------
1: 7
2: 35
3: 188
4: 808
5: 2106
6: 4558
7: 7899
8: 12707
9: 18434
10: 26217
11: 35227
12: 47422
13: 60708
14: 78381
15: 101240
16: 133494
17: 183635
18: 286934


